Tura,Symbol,Koszt,Oblozenie,Koszt w turze
22,f2,1.3*f2**1.03,223,340.955233658384
22,s1,1.1*s1**1.07,55,80.0904553664029
22,s2,1.1*s2**1.07,60,87.9051912364121
22,s3,1.1*s3**1.07,108,164.875491623320
22,s4,1.1*s4**1.07,0,0
22,m1,1.2*m1**1.05,163,252.335428433327
22,m2,1.2*m2**1.05,60,88.3568163206652
22,r1,1.78*r1**0.95,0,0
22,r2,0.195*r2**0.95,163,24.6384189433895
22,r3,1.83*r3**0.95,0,0
22,r4,0.145*r4**0.95,60,7.08943606259719
22,r5,0.705*r5**0.95,55,31.7346470149083
22,r6,0.895*r6**0.95,0,0
22,r7,2.85*r7**0.95,0,0
22,r8,0.01*r8**0.95,60,0.488926625006703
22,r9,1.685*r9**0.95,108,143.996677957792
22,r10,1.875*r10**0.95,0,0
22,r11,2.645*r11**0.95,0,0
22,r12,2.835*r12**0.95,0,0
23,f1,1.3*f1**1.03,0,0
23,f2,1.3*f2**1.03,214,326.790587300174
23,s1,1.1*s1**1.07,55,80.0904553664029
23,s2,1.1*s2**1.07,60,87.9051912364121
23,s3,1.1*s3**1.07,99,150.218127247546
23,s4,1.1*s4**1.07,0,0
23,m1,1.2*m1**1.05,154,237.726722538474
23,m2,1.2*m2**1.05,60,88.3568163206652
23,r1,1.78*r1**0.95,0,0
23,r2,0.195*r2**0.95,154,23.3442161686382
23,r3,1.83*r3**0.95,0,0
23,r4,0.145*r4**0.95,60,7.08943606259719
23,r5,0.705*r5**0.95,55,31.7346470149083
23,r6,0.895*r6**0.95,0,0
23,r7,2.85*r7**0.95,0,0
23,r8,0.01*r8**0.95,60,0.488926625006703
23,r9,1.685*r9**0.95,99,132.572467630758
23,r10,1.875*r10**0.95,0,0
23,r11,2.645*r11**0.95,0,0
23,r12,2.835*r12**0.95,0,0
24,f1,1.3*f1**1.03,0,0
24,f2,1.3*f2**1.03,203,309.502578379685
24,s1,1.1*s1**1.07,49,70.7786851934035
